Compliant Applications,Compliant Publishers,Non-Compliant Applications,Non-Compliant Publishers
Realtek Audio Driver,Adobe Inc.,Brave,MSI
Realtek Card Reader,Microsoft Corporation,Distance,
RealtekSemiconductorCorp.RealtekAudioControl,Microsoft Windows,Severed Steel,
WinRAR 7.12 (64-bit),NVIDIA Corporation,Steam,
Notepad++ (64-bit x64),,qBittorrent,
Intel(R) Chipset Device Software,,TegraRcmGUI,
Intel(R) Serial IO,,,
Spotify,,,
